fecha_muerte,n,acum
2/03/2021,95,95
3/03/2021,99,194
4/03/2021,113,307
5/03/2021,113,420
6/03/2021,119,539
7/03/2021,103,642
8/03/2021,82,724
9/03/2021,99,823
10/03/2021,80,903
11/03/2021,90,993
12/03/2021,87,1080
13/03/2021,102,1182
14/03/2021,102,1284
15/03/2021,114,1398
16/03/2021,99,1497
17/03/2021,110,1607
18/03/2021,97,1704
19/03/2021,108,1812
20/03/2021,101,1913
21/03/2021,150,2063
22/03/2021,135,2198
23/03/2021,108,2306
24/03/2021,120,2426
25/03/2021,146,2572
26/03/2021,162,2734
27/03/2021,143,2877
28/03/2021,145,3022
29/03/2021,181,3203
30/03/2021,175,3378
31/03/2021,190,3568
1/04/2021,180,3748
2/04/2021,181,3929
3/04/2021,192,4121
4/04/2021,230,4351
5/04/2021,256,4607
6/04/2021,254,4861
7/04/2021,276,5137
8/04/2021,269,5406
9/04/2021,327,5733
10/04/2021,311,6044
11/04/2021,293,6337
12/04/2021,356,6693
13/04/2021,385,7078
14/04/2021,405,7483
15/04/2021,396,7879
16/04/2021,420,8299
17/04/2021,441,8740
18/04/2021,421,9161
19/04/2021,467,9628
20/04/2021,461,10089
21/04/2021,511,10600
22/04/2021,477,11077
23/04/2021,476,11553
24/04/2021,454,12007
25/04/2021,407,12414
26/04/2021,485,12899
27/04/2021,482,13381
28/04/2021,498,13879
29/04/2021,462,14341
30/04/2021,467,14808
1/05/2021,508,15316
2/05/2021,488,15804
3/05/2021,493,16297
4/05/2021,445,16742
5/05/2021,496,17238
6/05/2021,467,17705
7/05/2021,507,18212
8/05/2021,465,18677
9/05/2021,456,19133
10/05/2021,505,19638
11/05/2021,512,20150
12/05/2021,490,20640
13/05/2021,479,21119
14/05/2021,514,21633
15/05/2021,481,22114
16/05/2021,468,22582
17/05/2021,481,23063
18/05/2021,504,23567
19/05/2021,511,24078
20/05/2021,466,24544
21/05/2021,517,25061
22/05/2021,489,25550
23/05/2021,504,26054
24/05/2021,480,26534
25/05/2021,456,26990
26/05/2021,514,27504
27/05/2021,495,27999
28/05/2021,567,28566
29/05/2021,517,29083
30/05/2021,543,29626
31/05/2021,559,30185
1/06/2021,530,30715
2/06/2021,562,31277
3/06/2021,555,31832
4/06/2021,555,32387
5/06/2021,573,32960
6/06/2021,571,33531
7/06/2021,587,34118
8/06/2021,559,34677
9/06/2021,615,35292
10/06/2021,602,35894
11/06/2021,615,36509
12/06/2021,609,37118
13/06/2021,612,37730
14/06/2021,635,38365
15/06/2021,623,38988
16/06/2021,631,39619
17/06/2021,630,40249
18/06/2021,578,40827
19/06/2021,626,41453
20/06/2021,635,42088
21/06/2021,660,42748
22/06/2021,622,43370
23/06/2021,617,43987
24/06/2021,645,44632
25/06/2021,619,45251
26/06/2021,550,45801
27/06/2021,563,46364
28/06/2021,598,46962
29/06/2021,639,47601
30/06/2021,597,48198
1/07/2021,588,48786
2/07/2021,574,49360
3/07/2021,603,49963
4/07/2021,561,50524
5/07/2021,556,51080
6/07/2021,587,51667
7/07/2021,563,52230
8/07/2021,543,52773
9/07/2021,460,53233
10/07/2021,496,53729
11/07/2021,487,54216
12/07/2021,487,54703
13/07/2021,486,55189
14/07/2021,461,55650
15/07/2021,474,56124
16/07/2021,470,56594
17/07/2021,379,56973
18/07/2021,420,57393
19/07/2021,354,57747
20/07/2021,351,58098
21/07/2021,374,58472
22/07/2021,322,58794
23/07/2021,321,59115
24/07/2021,294,59409
25/07/2021,285,59694
26/07/2021,286,59980
27/07/2021,283,60263
28/07/2021,309,60572
29/07/2021,277,60849
30/07/2021,228,61077
31/07/2021,231,61308
1/08/2021,232,61540
2/08/2021,232,61772
3/08/2021,184,61956
4/08/2021,168,62124
5/08/2021,157,62281
6/08/2021,186,62467
7/08/2021,169,62636
8/08/2021,136,62772
9/08/2021,165,62937
10/08/2021,148,63085
11/08/2021,144,63229
12/08/2021,134,63363
13/08/2021,121,63484
14/08/2021,110,63594
15/08/2021,112,63706
16/08/2021,101,63807
17/08/2021,94,63901
18/08/2021,103,64004
19/08/2021,91,64095
20/08/2021,89,64184
21/08/2021,86,64270
22/08/2021,77,64347
23/08/2021,91,64438
24/08/2021,84,64522
25/08/2021,72,64594
26/08/2021,58,64652
27/08/2021,68,64720
28/08/2021,60,64780
29/08/2021,69,64849
30/08/2021,50,64899
31/08/2021,65,64964
1/09/2021,56,65020
2/09/2021,39,65059
3/09/2021,48,65107
4/09/2021,34,65141
5/09/2021,43,65184
6/09/2021,32,65216
7/09/2021,47,65263
8/09/2021,40,65303
9/09/2021,45,65348
10/09/2021,36,65384
11/09/2021,47,65431
12/09/2021,36,65467
13/09/2021,34,65501
14/09/2021,31,65532
15/09/2021,26,65558
16/09/2021,31,65589
17/09/2021,23,65612
18/09/2021,30,65642
19/09/2021,28,65670
20/09/2021,36,65706
21/09/2021,33,65739
22/09/2021,32,65771
23/09/2021,30,65801
24/09/2021,34,65835
25/09/2021,22,65857
26/09/2021,31,65888
27/09/2021,38,65926
28/09/2021,28,65954
29/09/2021,28,65982
30/09/2021,24,66006
1/10/2021,32,66038
2/10/2021,31,66069
3/10/2021,15,66084
4/10/2021,24,66108
5/10/2021,32,66140
6/10/2021,23,66163
7/10/2021,25,66188
8/10/2021,31,66219
9/10/2021,24,66243
10/10/2021,30,66273
11/10/2021,36,66309
12/10/2021,26,66335
13/10/2021,22,66357
14/10/2021,27,66384
15/10/2021,25,66409
16/10/2021,34,66443
17/10/2021,20,66463
18/10/2021,15,66478
19/10/2021,29,66507
20/10/2021,30,66537
21/10/2021,29,66566
22/10/2021,31,66597
23/10/2021,20,66617
24/10/2021,37,66654
25/10/2021,35,66689
26/10/2021,28,66717
27/10/2021,35,66752
28/10/2021,23,66775
29/10/2021,28,66803
30/10/2021,28,66831
31/10/2021,32,66863
1/11/2021,43,66906
2/11/2021,33,66939
3/11/2021,32,66971
4/11/2021,25,66996
5/11/2021,28,67024
6/11/2021,34,67058
7/11/2021,35,67093
8/11/2021,41,67134
9/11/2021,35,67169
10/11/2021,30,67199
11/11/2021,42,67241
12/11/2021,34,67275
13/11/2021,38,67313
14/11/2021,40,67353
15/11/2021,36,67389
16/11/2021,42,67431
17/11/2021,52,67483
18/11/2021,43,67526
19/11/2021,42,67568
20/11/2021,40,67608
21/11/2021,44,67652
22/11/2021,47,67699
23/11/2021,34,67733
24/11/2021,45,67778
25/11/2021,53,67831
26/11/2021,45,67876
27/11/2021,40,67916
28/11/2021,52,67968
29/11/2021,61,68029
30/11/2021,42,68071
1/12/2021,46,68117
2/12/2021,49,68166
3/12/2021,49,68215
4/12/2021,55,68270
5/12/2021,51,68321
6/12/2021,45,68366
7/12/2021,54,68420
8/12/2021,57,68477
9/12/2021,46,68523
10/12/2021,41,68564
11/12/2021,50,68614
12/12/2021,51,68665
13/12/2021,40,68705
14/12/2021,36,68741
15/12/2021,43,68784
16/12/2021,59,68843
17/12/2021,49,68892
18/12/2021,57,68949
19/12/2021,46,68995
20/12/2021,42,69037
21/12/2021,52,69089
22/12/2021,44,69133
23/12/2021,42,69175
24/12/2021,35,69210
25/12/2021,44,69254
26/12/2021,34,69288
27/12/2021,41,69329
28/12/2021,36,69365
29/12/2021,32,69397
30/12/2021,47,69444
31/12/2021,31,69475
1/01/2022,46,69521
2/01/2022,39,69560
3/01/2022,35,69595
4/01/2022,65,69660
5/01/2022,53,69713
6/01/2022,55,69768
7/01/2022,53,69821
8/01/2022,72,69893
9/01/2022,57,69950
10/01/2022,78,70028
11/01/2022,104,70132
12/01/2022,109,70241
13/01/2022,118,70359
14/01/2022,136,70495
15/01/2022,159,70654
16/01/2022,164,70818
17/01/2022,194,71012
18/01/2022,195,71207
19/01/2022,207,71414
20/01/2022,216,71630
21/01/2022,257,71887
22/01/2022,241,72128
23/01/2022,215,72343
24/01/2022,240,72583
25/01/2022,279,72862
26/01/2022,276,73138
27/01/2022,278,73416
28/01/2022,275,73691
29/01/2022,257,73948
30/01/2022,269,74217
31/01/2022,272,74489
1/02/2022,229,74718
2/02/2022,215,74933
3/02/2022,241,75174
4/02/2022,234,75408
5/02/2022,242,75650
6/02/2022,238,75888
7/02/2022,214,76102
8/02/2022,211,76313
9/02/2022,179,76492
10/02/2022,172,76664
11/02/2022,163,76827
12/02/2022,144,76971
13/02/2022,152,77123
14/02/2022,138,77261
15/02/2022,149,77410
16/02/2022,125,77535
17/02/2022,121,77656
18/02/2022,112,77768
19/02/2022,108,77876
20/02/2022,87,77963
21/02/2022,81,78044
22/02/2022,74,78118
23/02/2022,65,78183
24/02/2022,68,78251
25/02/2022,72,78323
26/02/2022,68,78391
